sn_name,sn_ra,sn_dec,sn_redshift,host_candi_id,host_ra,host_dec,host_specz
ZTF18ablqkba,244.8287,36.49037,0.15,1237659161203245622,244.8289,36.49097,-99.0
ZTF18ablqjul,226.913,38.21366,0.1,1237661360769794534,226.9131,38.21367,-99.0
ZTF18ablqkud,249.4166,25.32091,0.06808,1237662336796655821,249.4164,25.31996,0.0680796
ZTF18ablongw,262.6781,62.83113,0.08181000000000001,1237655746703327558,262.6783,62.8315,0.08181214
ZTF18abmogag,13.30422,20.71471,0.0823,1237679504861233188,13.303679999999998,20.71478,0.08222634
ZTF18ablqhqx,206.7275,32.44286,0.11,1237665024376176755,206.7238,32.44384,0.1104296
ZTF18abmjvuf,230.3098,30.636640000000003,0.075,1237662225157784255,230.3065,30.63696,-99.0
ZTF18abnonwz,195.3027,39.75644000000001,0.07,1237664295293813055,195.3008,39.75562,-99.0
ZTF18abntsgz,328.652,18.11552,0.05,1237680297805021686,328.6501,18.11479,-99.0
ZTF18abmxfrc,252.7534,25.87597,0.06,1237662499476210466,252.7534,25.87636,-99.0
ZTF18abmrhom,325.0471,21.55839,0.07,1237680306393056127,325.0473,21.55844,-99.0
ZTF18abmoung,225.9381,61.56789000000001,0.06589,1237651539257065689,225.9378,61.56742,0.06583611
ZTF18abnvnqb,267.4286,54.39919,0.1,1237655747780936400,267.42900000000003,54.39918,-99.0
ZTF18abkhdxe,277.8432,63.7415,0.105,1237671939271491947,277.842,63.7415,-99.0
ZTF18aasprui,243.6407,36.9434,0.03796,1237665357231357992,243.6402,36.94379,0.03796067
ZTF18ablqqqp,253.1301,23.38353,0.1,1237662337872102360,253.1296,23.38376,-99.0
ZTF18abnxhmc,329.7575,11.10369,0.08,1237656494026916424,329.7584,11.10126,0.07641185
ZTF18abmxahs,257.5465,21.64904,0.0148,1237659152614359239,257.5461,21.64959,0.01478627
ZTF18abobkii,243.6958,43.30529,0.0597,1237665357234110752,243.6957,43.30527,0.05974455
ZTF18aboaeqy,242.6767,42.59406,0.115,1237659325490528445,242.6763,42.59404,-99.0
ZTF18abncimo,336.9034,22.89531,0.05684,1237666245757632653,336.9036,22.89524,-99.0
ZTF18abnygkb,328.5,8.114686,0.07,1237678846647206564,328.5001,8.115031,-99.0
ZTF18abpamut,234.5126,51.36036,0.07400000000000001,1237655464854880435,234.5135,51.36017,-99.0
ZTF18abddmrf,226.9673,38.04847,0.17,1237661433248547458,226.9678,38.049,-99.0
ZTF18abmjvpb,239.5487,19.76521,0.066077,1237665535467716871,239.5551,19.76671,0.06599487
ZTF18aboztta,246.4449,20.42581,0.106,1237662223554904989,246.4447,20.42598,-99.0
ZTF18abpmmpo,251.9775,42.96878,0.08,1237651714800288225,251.9771,42.9684,-99.0
ZTF18aboztku,243.4232,10.65852,0.0802,1237668271916122599,243.4232,10.65862,0.08016846
ZTF18abmwpyl,354.362,21.90345,0.13,1237680297815703935,354.3621,21.9064,-99.0
ZTF18abpttky,258.5604,36.45897,0.084,1237654954819388078,258.5604,36.45889,-99.0
ZTF18abrlupd,245.6206,51.64223,0.055,1237665569292157075,245.6214,51.64196,-99.0
ZTF18abrqedj,103.0894,27.4708,0.036745,1237673738322641929,103.0892,27.47085,-99.0
ZTF18abqjurg,227.0176,37.25153,0.0793,1237661873491411157,227.0188,37.25167,0.07931267
ZTF18abqbavl,255.874,41.64532,0.14,1237665570371207779,255.8728,41.64482,-99.0
ZTF18abqlpgq,340.1028,16.19079,0.095268,1237666183489192310,340.101,16.189239999999998,0.09526871
ZTF18abryqnn,355.1913,14.100370000000002,0.063,1237656241170022674,355.1915,14.10028,-99.0
ZTF18abosrco,352.4718,27.377990000000004,0.023823,1237680277404451103,352.4724,27.37962000000001,-99.0
ZTF18abptsco,261.7142,34.24662,0.12,1237665582724875148,261.7142,34.24663,-99.0
ZTF18abmwnov,3.757664,34.81145,0.04777,1237659936437370911,3.758472,34.80834,-99.0
ZTF18abrwudp,217.5265,58.7868,0.13,1237655370368942295,217.525,58.78693000000001,-99.0
ZTF18abqjvyl,225.2652,44.15654,0.0877,1237662301364879759,225.2655,44.15656,-99.0
ZTF18aawjywv,268.7502,42.89834000000001,0.04,1237668726628221100,268.7506,42.89907,-99.0
ZTF18aaxsioa,252.4129,45.49228,0.03,1237665569832370493,252.4138,45.49274000000001,-99.0
ZTF18abolvoh,343.5488,5.064042,0.049,1237678777934086272,343.5477,5.0637919999999985,-99.0
ZTF18abfhaji,263.8093,54.24688,0.09,1237656529458299158,263.8103,54.24637,-99.0
ZTF18absbsoz,346.9652,23.20407,0.081,1237666183493386508,346.9631,23.20302,-99.0
ZTF18aaxkjmm,236.3713,35.85523,0.0661,1237662473154199933,236.3712,35.85527000000001,-99.0
ZTF18ablvime,1.755282,33.18287,0.14,1237680479267652282,1.7553450000000002,33.182990000000004,-99.0
ZTF18abrzbyt,117.2806,32.98062,0.02766,1237674289144529239,117.2779,32.97885,0.02689051
ZTF18abrytwr,46.61169,41.21383,0.06,1237661081587745346,46.61167,41.21386,-99.0
ZTF18abrzrnb,222.2358,52.59344,0.12,1237661388680921426,222.2363,52.5929,-99.0
ZTF18abotcjv,26.03449,7.977053,0.062,1237667229830414632,26.03481,7.976871000000001,-99.0
